Country,University,Founded,Type,Enrollment,link
Lithuania,Vilnius University,1579,Public,"23,606",https://en.wikipedia.org/wiki/Lithuania
Macau,Macau University of Science and Technology,2000,Private,"10,373",https://en.wikipedia.org/wiki/Macau
Malaysia,Universiti Teknologi MARA,1956,Public,"100,000",https://en.wikipedia.org/wiki/Malaysia
Mexico,National Autonomous University of Mexico,1551,Public,"349,515",https://en.wikipedia.org/wiki/Mexico
Nepal,Tribhuvan University,1959,Public,"604,437",https://en.wikipedia.org/wiki/Nepal
Netherlands,University of Amsterdam,1632,Public,"31,186",https://en.wikipedia.org/wiki/Netherlands
New Zealand,University of Auckland,1883,Public,"33,050",https://en.wikipedia.org/wiki/New_Zealand
North Macedonia,University of Skopje,1943,Public,"50,000",https://en.wikipedia.org/wiki/North_Macedonia
Norway,Norwegian University of Science and Technology,1996,Public,"39,000",https://en.wikipedia.org/wiki/Norway
Pakistan,Virtual University of Pakistan,2002,Public,"165,000",https://en.wikipedia.org/wiki/Pakistan
Peru,National University of San Marcos,1551,Private,"37,032",https://en.wikipedia.org/wiki/Peru
Philippines,Polytechnic University of the Philippines,1904,Public,"68,249",https://en.wikipedia.org/wiki/Philippines
Poland,University of Warsaw,1816,Public,"44,400",https://en.wikipedia.org/wiki/Poland
Portugal,University of Lisbon,1288,Public,"48,100",https://en.wikipedia.org/wiki/Portugal
Romania,Spiru Haret University,1991,Private,"311,928",https://en.wikipedia.org/wiki/Romania
Russia,Modern University for the Humanities,1992,Private,"200,000",https://en.wikipedia.org/wiki/Russia
Saudi Arabia,King Abdulaziz University,1976,Public,"177,234",https://en.wikipedia.org/wiki/Saudi_Arabia
Singapore,National University of Singapore,1905,Public,"38,300",https://en.wikipedia.org/wiki/Singapore
Slovenia,University of Ljubljana,1919,Public,"48,821",https://en.wikipedia.org/wiki/Slovenia
South Africa,University of South Africa,1873,Public,"328,179",https://en.wikipedia.org/wiki/South_Africa
South Korea,Korea National Open University,1972,Public,"173,758",https://en.wikipedia.org/wiki/South_Korea
Spain,National University of Distance Education,1972,Public,"260,079",https://en.wikipedia.org/wiki/Spain
Sweden,Lund University,1666,Public,"30,646",https://en.wikipedia.org/wiki/Sweden
Switzerland,University of Zurich,1833[34],Public,"26,356",https://en.wikipedia.org/wiki/Switzerland
Taiwan,National Taiwan University,1928,Public,"31,758",https://en.wikipedia.org/wiki/Taiwan
Thailand,Ramkhamhaeng University,1971,Public,"525,000",https://en.wikipedia.org/wiki/Thailand
Trinidad and Tobago,University of the West Indies,1960,Public,"60,000+",https://en.wikipedia.org/wiki/Trinidad_and_Tobago
Turkey,Anadolu University,1958,Public,"1,969,733",https://en.wikipedia.org/wiki/Turkey
United Kingdom,Open University,1969,Public,"253,075",https://en.wikipedia.org/wiki/United_Kingdom
United States,Texas A&M University,1876,Public,"73,284",https://en.wikipedia.org/wiki/United_States
Uruguay,University of the Republic,1949,Public,"144,108",https://en.wikipedia.org/wiki/Uruguay
Venezuela,Universidad Central de Venezuela,1721,Public,"41,059",https://en.wikipedia.org/wiki/Venezuela
